r_frek:                     i_frek:
0.492591                     0.566137
0.803399                     0
0.78265                     0.610029
0.433366                     0.762693
0.605018                     0.911847
0.544729                     1
0.405045                     0.732146
0.533367                     0.259925
0.538629                     0.451395
0.035547                     0.600386
0.310767                     0.477886
0.49693                     0.925444
0.497912                     0.799148
1                     0.3361
0.736619                     0.393641
0.430582                     0.0695252
0.741064                     0.361687
0.5535                     0.663269
0.418208                     0.834993
0.886171                     0.722349
0.872988                     0.773419
0.533971                     0.652621
0.796553                     0.369146
0.566223                     0.569177
-0                     0.672604
0.399438                     0.367329
0.66815                     0.770769
0.290044                     0.751583
0.728307                     0.559086
0.750526                     0.362984
0.410965                     0.362345
0.656171                     0.145141
0.653994                     0.627932
0.211014                     0.73631
0.580644                     0.65008
0.741406                     0.636847
0.476352                     0.652835
0.718808                     0.304091
0.671366                     0.746711
0.337406                     0.370101
0.682696                     0.646561
0.634024                     0.625716
0.243855                     0.817909
0.48734                     0.241816
0.567897                     0.657107
0.6344                     0.624838
0.583453                     0.690078
0.79489                     0.612148
0.189379                     0.539903
0.771462                     0.332016
0.405451                     0.778493
0.462227                     0.55095
0.711094                     0.72818
0.716492                     0.838682
0.33696                     0.474212
0.8398                     0.392643
0.352982                     0.566004
0.415415                     0.449893
0.730256                     0.277934
0.898249                     0.728834
0.34593                     0.637306
0.761015                     0.546131
0.570843                     0.664456
0.372541                     0.602837
0.700492                     0.416533
0.69905                     0.462042
0.401045                     0.523049
0.583886                     0.719889
0.20365                     0.636452
0.41147                     0.737285
0.730847                     0.646636
0.7276                     0.657645
0.584377                     0.197174
0.876649                     0.286962
0.361964                     0.503522
0.114444                     0.524081
0.594991                     0.5699
0.509912                     0.683794
0.749662                     0.654867
0.989166                     0.689584
0.530609                     0.44602
0.381475                     0.522633
0.361137                     0.282825
0.494682                     0.686352
0.5154                     0.881246
0.523517                     0.940823
0.535955                     0.483313
0.73914                     0.459456
0.829966                     0.319331
0.258282                     0.510587
0.496813                     0.462428
0.408138                     0.744613
0.551086                     0.518274
0.737599                     0.7536
0.954617                     0.638963
0.490864                     0.582287
0.555023                     0.545248
0.380817                     0.564354
0.540741                     0.504115
0.502262                     0.502971
